xcoord,ycoord,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66
364472.288,4115211.4343,3373.00000,2822.00000,5242.00000,6463.00000,5147.00000,5067.00000,4729.00000,4410.00000,4012.00000
367032.288,4112951.4343,2581.00000,2265.00000,4126.00000,5069.00000,4386.00000,4437.00000,4021.00000,3379.00000,2928.00000
367592.288,4111491.4343,3064.00000,2614.00000,4611.00000,5553.00000,5284.00000,5193.00000,4767.00000,4036.00000,3512.00000
367052.288,4112951.4343,3298.00000,2707.00000,5151.00000,6217.00000,5436.00000,5120.00000,4842.00000,4349.00000,3910.00000
367612.288,4111491.4343,3085.00000,2652.00000,4694.00000,5600.00000,5315.00000,5173.00000,4772.00000,4065.00000,3571.00000
367632.288,4111491.4343,3052.00000,2602.00000,4603.00000,5601.00000,5209.00000,5016.00000,4712.00000,3983.00000,3509.00000
368512.288,4107151.4343,3590.00000,3023.00000,5671.00000,6344.00000,5263.00000,5111.00000,4821.00000,4530.00000,4098.00000
368532.288,4107151.4343,3550.00000,3019.00000,5638.00000,6343.00000,5198.00000,5068.00000,4802.00000,4490.00000,4071.00000
368552.288,4107151.4343,3493.00000,2986.00000,5494.00000,6164.00000,4981.00000,4908.00000,4620.00000,4398.00000,3970.00000
365832.288,4111531.4343,3119.00000,2650.00000,4995.00000,5983.00000,4927.00000,4862.00000,4517.00000,4074.00000,3551.00000
368572.288,4107151.4343,3331.00000,2895.00000,5283.00000,5943.00000,4818.00000,4657.00000,4417.00000,4164.00000,3744.00000
365852.288,4111531.4343,2791.00000,2426.00000,4908.00000,5955.00000,4558.00000,4335.00000,4066.00000,3561.00000,3162.00000
368592.288,4107151.4343,3485.00000,2958.00000,5381.00000,6019.00000,5014.00000,4877.00000,4601.00000,4338.00000,3907.00000
365872.288,4111531.4343,2950.00000,2551.00000,5065.00000,6057.00000,4730.00000,4586.00000,4347.00000,3897.00000,3349.00000
368612.288,4107151.4343,3488.00000,2957.00000,5502.00000,6124.00000,5064.00000,4953.00000,4725.00000,4406.00000,3926.00000
368632.288,4107151.4343,3463.00000,2935.00000,5461.00000,6065.00000,5062.00000,4945.00000,4641.00000,4342.00000,3890.00000
368652.288,4107151.4343,3406.00000,2933.00000,5409.00000,5986.00000,5022.00000,4903.00000,4642.00000,4283.00000,3845.00000
368672.288,4107151.4343,3377.00000,2906.00000,5409.00000,6021.00000,5000.00000,4866.00000,4611.00000,4301.00000,3805.00000
368692.288,4107151.4343,3339.00000,2869.00000,5402.00000,5975.00000,5007.00000,4837.00000,4630.00000,4287.00000,3801.00000
368712.288,4107151.4343,3330.00000,2856.00000,5287.00000,5873.00000,5011.00000,4852.00000,4616.00000,4258.00000,3754.00000
368732.288,4107151.4343,3317.00000,2865.00000,5125.00000,5735.00000,5008.00000,4863.00000,4535.00000,4140.00000,3701.00000
368752.288,4107151.4343,3281.00000,2866.00000,4994.00000,5626.00000,5013.00000,4844.00000,4500.00000,4075.00000,3707.00000
364852.288,4113271.4343,2818.00000,2343.00000,4490.00000,5513.00000,4543.00000,4458.00000,4042.00000,3691.00000,3313.00000
364752.288,4113131.4343,2724.00000,2313.00000,4483.00000,5369.00000,4616.00000,4460.00000,4123.00000,3534.00000,3165.00000
364772.288,4113131.4343,2685.00000,2304.00000,4435.00000,5388.00000,4596.00000,4422.00000,3996.00000,3544.00000,3157.00000
364432.288,4115191.4343,2832.00000,2428.00000,4445.00000,5462.00000,4816.00000,4637.00000,4338.00000,3660.00000,3235.00000
364792.288,4113131.4343,2633.00000,2258.00000,4180.00000,5219.00000,4555.00000,4434.00000,4040.00000,3502.00000,3117.00000
367112.288,4112711.4343,2996.00000,2564.00000,4402.00000,5230.00000,5233.00000,5111.00000,4749.00000,4044.00000,3448.00000
364452.288,4115191.4343,3147.00000,2638.00000,4846.00000,6008.00000,4976.00000,4773.00000,4518.00000,4127.00000,3759.00000
364812.288,4113131.4343,2643.00000,2235.00000,4123.00000,5174.00000,4653.00000,4559.00000,4158.00000,3549.00000,3149.00000
367132.288,4112711.4343,3163.00000,2680.00000,4939.00000,5814.00000,5178.00000,5053.00000,4718.00000,4069.00000,3634.00000
364472.288,4115191.4343,3216.00000,2716.00000,5049.00000,6208.00000,5004.00000,4883.00000,4615.00000,4276.00000,3834.00000
367152.288,4112711.4343,3179.00000,2729.00000,4949.00000,5778.00000,5196.00000,5011.00000,4691.00000,4104.00000,3643.00000
364492.288,4115191.4343,3179.00000,2674.00000,4745.00000,5845.00000,4907.00000,4824.00000,4543.00000,4206.00000,3742.00000
365612.288,4113131.4343,2654.00000,2342.00000,4978.00000,5594.00000,3973.00000,3778.00000,3572.00000,3321.00000,3016.00000
367172.288,4112711.4343,3124.00000,2686.00000,4510.00000,5445.00000,5141.00000,4961.00000,4629.00000,3931.00000,3509.00000
365632.288,4113131.4343,2668.00000,2313.00000,5029.00000,5668.00000,4097.00000,3878.00000,3656.00000,3375.00000,3033.00000
365652.288,4113131.4343,2542.00000,2239.00000,4832.00000,5391.00000,3857.00000,3702.00000,3487.00000,3199.00000,2904.00000
368332.288,4107151.4343,3314.00000,2866.00000,5273.00000,5806.00000,4942.00000,4893.00000,4576.00000,4141.00000,3727.00000
368352.288,4107151.4343,3486.00000,2958.00000,5658.00000,6251.00000,5157.00000,5072.00000,4754.00000,4413.00000,3969.00000
365212.288,4113511.4343,3168.00000,2644.00000,5097.00000,5940.00000,5167.00000,4892.00000,4646.00000,4146.00000,3601.00000
368372.288,4107151.4343,3507.00000,2963.00000,5745.00000,6365.00000,5153.00000,5026.00000,4741.00000,4469.00000,3981.00000
365232.288,4113511.4343,3201.00000,2669.00000,5155.00000,5963.00000,4897.00000,4877.00000,4518.00000,4202.00000,3783.00000
367032.288,4112931.4343,2682.00000,2332.00000,4233.00000,5063.00000,4551.00000,4484.00000,4175.00000,3513.00000,2998.00000
368392.288,4107151.4343,3504.00000,2984.00000,5714.00000,6333.00000,5147.00000,4976.00000,4715.00000,4425.00000,3958.00000
365252.288,4113511.4343,3192.00000,2607.00000,5151.00000,5972.00000,5082.00000,4949.00000,4693.00000,4351.00000,3798.00000
367052.288,4112931.4343,3395.00000,2790.00000,5371.00000,6440.00000,5600.00000,5279.00000,4978.00000,4472.00000,4038.00000
368412.288,4107151.4343,3482.00000,2967.00000,5694.00000,6329.00000,5081.00000,4940.00000,4680.00000,4401.00000,3943.00000
367072.288,4112931.4343,3217.00000,2689.00000,5216.00000,6316.00000,5357.00000,5182.00000,4845.00000,4263.00000,3725.00000
368432.288,4107151.4343,3449.00000,2921.00000,5642.00000,6327.00000,5049.00000,4946.00000,4686.00000,4391.00000,3913.00000
367732.288,4111431.4343,3208.00000,2762.00000,4505.00000,5561.00000,5501.00000,5392.00000,4950.00000,4009.00000,3562.00000
368452.288,4107151.4343,3472.00000,2958.00000,5648.00000,6318.00000,5103.00000,4942.00000,4716.00000,4415.00000,3952.00000
367752.288,4111431.4343,3251.00000,2798.00000,4633.00000,5734.00000,5502.00000,5422.00000,5012.00000,4199.00000,3687.00000
368472.288,4107151.4343,3506.00000,2957.00000,5658.00000,6382.00000,5164.00000,5001.00000,4784.00000,4486.00000,4013.00000
367772.288,4111431.4343,3253.00000,2769.00000,4677.00000,5766.00000,5539.00000,5409.00000,4950.00000,4197.00000,3731.00000
368492.288,4107151.4343,3548.00000,2981.00000,5674.00000,6413.00000,5220.00000,5059.00000,4819.00000,4535.00000,4073.00000
367792.288,4111431.4343,3242.00000,2742.00000,4701.00000,5793.00000,5411.00000,5361.00000,4995.00000,4269.00000,3718.00000
367812.288,4111431.4343,3171.00000,2707.00000,4741.00000,5770.00000,5255.00000,5163.00000,4874.00000,4305.00000,3733.00000
365812.288,4113231.4343,2549.00000,2262.00000,4643.00000,5078.00000,3917.00000,3780.00000,3509.00000,3135.00000,2879.00000
365832.288,4113231.4343,2552.00000,2273.00000,4765.00000,5135.00000,3809.00000,3618.00000,3502.00000,3157.00000,2875.00000
365392.288,4112991.4343,3036.00000,2580.00000,5278.00000,6128.00000,4728.00000,4634.00000,4265.00000,3939.00000,3601.00000
365412.288,4112991.4343,2731.00000,2397.00000,4958.00000,5536.00000,4089.00000,3960.00000,3776.00000,3511.00000,3108.00000
365552.288,4113131.4343,2429.00000,2169.00000,4560.00000,5052.00000,3645.00000,3538.00000,3254.00000,2996.00000,2758.00000
365572.288,4113131.4343,2471.00000,2179.00000,4663.00000,5183.00000,3718.00000,3606.00000,3398.00000,3102.00000,2786.00000
365592.288,4113131.4343,2542.00000,2253.00000,4806.00000,5351.00000,3800.00000,3714.00000,3461.00000,3172.00000,2900.00000
367172.288,4112091.4343,2880.00000,2403.00000,4403.00000,5378.00000,4887.00000,4785.00000,4438.00000,3810.00000,3410.00000
367192.288,4112091.4343,3148.00000,2610.00000,4615.00000,5727.00000,5137.00000,5029.00000,4723.00000,4238.00000,3807.00000
367212.288,4112091.4343,3220.00000,2655.00000,4704.00000,5895.00000,5376.00000,5253.00000,4903.00000,4298.00000,3842.00000
368632.288,4107111.4343,3433.00000,2954.00000,5434.00000,6088.00000,5070.00000,4927.00000,4624.00000,4298.00000,3875.00000
365272.288,4112991.4343,2473.00000,2228.00000,4591.00000,5088.00000,3794.00000,3610.00000,3481.00000,3176.00000,2787.00000
368652.288,4107111.4343,3406.00000,2920.00000,5404.00000,6034.00000,5018.00000,4868.00000,4627.00000,4279.00000,3859.00000
365292.288,4112991.4343,3019.00000,2591.00000,5288.00000,5999.00000,4618.00000,4493.00000,4159.00000,3850.00000,3568.00000
368672.288,4107111.4343,3376.00000,2910.00000,5402.00000,6010.00000,4997.00000,4828.00000,4605.00000,4320.00000,3823.00000
365312.288,4112991.4343,2999.00000,2553.00000,5389.00000,6346.00000,4910.00000,4638.00000,4350.00000,4051.00000,3621.00000
368692.288,4107111.4343,3350.00000,2891.00000,5383.00000,6019.00000,4996.00000,4850.00000,4587.00000,4238.00000,3772.00000
365332.288,4112991.4343,3135.00000,2615.00000,5466.00000,6543.00000,4997.00000,4850.00000,4523.00000,4213.00000,3787.00000
368712.288,4107111.4343,3364.00000,2889.00000,5353.00000,6022.00000,5041.00000,4876.00000,4609.00000,4198.00000,3746.00000
365352.288,4112991.4343,3227.00000,2692.00000,5547.00000,6615.00000,5151.00000,4951.00000,4678.00000,4339.00000,3880.00000
365532.288,4113111.4343,2458.00000,2190.00000,4669.00000,5166.00000,3688.00000,3593.00000,3362.00000,3095.00000,2792.00000
364772.288,4113231.4343,3021.00000,2532.00000,4804.00000,5762.00000,5325.00000,5201.00000,4723.00000,4045.00000,3567.00000
368732.288,4107111.4343,3338.00000,2888.00000,5367.00000,6036.00000,5060.00000,4883.00000,4606.00000,4251.00000,3764.00000
365372.288,4112991.4343,3061.00000,2623.00000,5426.00000,6385.00000,4897.00000,4716.00000,4418.00000,4113.00000,3683.00000
365552.288,4113111.4343,2500.00000,2214.00000,4680.00000,5178.00000,3742.00000,3633.00000,3347.00000,3068.00000,2830.00000
364792.288,4113231.4343,3032.00000,2547.00000,4807.00000,5769.00000,5329.00000,5262.00000,4682.00000,4018.00000,3564.00000
368752.288,4107111.4343,3293.00000,2839.00000,5343.00000,5960.00000,4965.00000,4793.00000,4497.00000,4197.00000,3700.00000
365572.288,4113111.4343,2464.00000,2196.00000,4739.00000,5250.00000,3691.00000,3586.00000,3311.00000,3059.00000,2813.00000
364812.288,4113231.4343,2997.00000,2484.00000,4683.00000,5651.00000,5164.00000,5077.00000,4732.00000,3992.00000,3548.00000
368772.288,4107111.4343,3227.00000,2827.00000,5211.00000,5874.00000,4762.00000,4601.00000,4357.00000,4017.00000,3593.00000
364472.288,4115291.4343,3202.00000,2714.00000,5018.00000,6309.00000,5010.00000,4905.00000,4609.00000,4226.00000,3799.00000
365592.288,4113111.4343,2474.00000,2226.00000,4760.00000,5274.00000,3736.00000,3605.00000,3387.00000,3108.00000,2815.00000
364832.288,4113231.4343,2811.00000,2359.00000,4352.00000,5382.00000,4721.00000,4628.00000,4223.00000,3698.00000,3361.00000
368792.288,4107111.4343,3257.00000,2823.00000,5156.00000,5769.00000,4902.00000,4701.00000,4457.00000,4045.00000,3613.00000
364492.288,4115291.4343,3278.00000,2744.00000,4945.00000,6294.00000,5114.00000,5105.00000,4720.00000,4343.00000,3915.00000
365612.288,4113111.4343,2528.00000,2237.00000,4847.00000,5398.00000,3839.00000,3729.00000,3501.00000,3235.00000,2923.00000
365632.288,4113111.4343,2606.00000,2300.00000,4877.00000,5420.00000,3881.00000,3762.00000,3527.00000,3269.00000,2986.00000
367132.288,4112671.4343,3170.00000,2688.00000,4899.00000,5802.00000,5255.00000,5068.00000,4732.00000,4137.00000,3690.00000
367152.288,4112671.4343,3017.00000,2587.00000,4671.00000,5524.00000,5037.00000,4943.00000,4526.00000,3919.00000,3510.00000
367172.288,4112671.4343,2932.00000,2501.00000,4350.00000,5266.00000,5106.00000,4929.00000,4594.00000,3771.00000,3317.00000
367192.288,4112671.4343,3105.00000,2677.00000,4438.00000,5325.00000,5273.00000,5074.00000,4668.00000,3882.00000,3407.00000
367212.288,4112671.4343,3267.00000,2796.00000,4727.00000,5679.00000,5204.00000,5144.00000,4759.00000,4114.00000,3677.00000
367232.288,4112671.4343,3237.00000,2810.00000,4822.00000,5762.00000,5184.00000,4971.00000,4716.00000,4147.00000,3759.00000
367052.288,4112891.4343,2952.00000,2487.00000,4695.00000,5702.00000,5125.00000,4987.00000,4584.00000,3929.00000,3380.00000
367072.288,4112891.4343,2740.00000,2331.00000,4311.00000,5364.00000,4753.00000,4628.00000,4218.00000,3367.00000,2939.00000
367772.288,4111391.4343,3033.00000,2521.00000,4188.00000,5281.00000,5663.00000,5512.00000,5065.00000,3759.00000,3304.00000
365752.288,4113191.4343,2353.00000,2115.00000,4432.00000,4783.00000,3653.00000,3485.00000,3245.00000,2889.00000,2607.00000
367792.288,4111391.4343,3064.00000,2589.00000,4541.00000,5614.00000,5221.00000,5079.00000,4748.00000,4061.00000,3495.00000
365852.288,4111471.4343,3049.00000,2583.00000,5127.00000,6333.00000,5055.00000,4867.00000,4513.00000,3920.00000,3456.00000
365292.288,4112931.4343,2789.00000,2436.00000,5040.00000,5565.00000,4140.00000,4021.00000,3814.00000,3497.00000,3154.00000
365772.288,4113191.4343,2343.00000,2107.00000,4530.00000,4899.00000,3543.00000,3428.00000,3170.00000,2851.00000,2627.00000
367812.288,4111391.4343,3237.00000,2790.00000,4701.00000,5756.00000,5439.00000,5307.00000,4986.00000,4226.00000,3730.00000
365872.288,4111471.4343,2959.00000,2582.00000,4571.00000,5644.00000,4812.00000,4611.00000,4340.00000,3748.00000,3285.00000
365792.288,4113191.4343,2365.00000,2114.00000,4505.00000,4875.00000,3605.00000,3516.00000,3280.00000,2994.00000,2638.00000
364752.288,4113111.4343,2666.00000,2275.00000,4519.00000,5402.00000,4519.00000,4401.00000,4082.00000,3496.00000,3106.00000
